matsize,patterns_size,nb_patterns,duration,threads,connections,throughput,latency_avg,latency_stdev,latency_max,requests,data_read,requests_per_sec,transfer_per_sec
8,8,16,10,2,100,1000,4.7,10.5,73.7,3216,985661.44,321.55,99041.28
8,8,16,10,2,100,2000,7.7,13.7,75.6,19808,6102712.32,1979.04,609546.24
8,8,16,10,2,1000,1000,11.4,13.4,72.1,2140,659118.08,211.79,65228.8
8,8,16,10,2,1000,2000,16.4,19.5,75.6,3881,1195376.64,386.99,119193.6
8,8,16,10,4,10,1000,1.2,2.3,38.6,10002,3082813.44,1000.04,308008.96
8,8,16,10,4,10,2000,1.0,1.4,25.5,19992,6155141.12,1999.25,615761.92
8,8,16,10,4,100,1000,0.8,0.4943999999999999,7.4,9984,3072327.68,998.14,307425.28
8,8,16,10,4,100,2000,0.8,0.5081,8.7,19922,6134169.6,1991.83,613478.4
8,8,16,10,4,1000,2000,15.7,15.7,76.2,8344,2569011.2,834.19,256931.84
8,8,16,10,4,1000,1000,1.1,2.6,24.8,1018,313548.8,90.49,27873.28
8,8,16,20,1,10,1000,0.8,0.4383,2.8,19981,6155141.12,999.14,307732.48
8,8,16,20,1,10,2000,0.9,0.4656,2.9,39955,12310282.24,1997.72,615290.88
8,8,16,20,1,100,1000,0.9,0.4259,2.2,11367,3502243.84,554.48,170782.72
8,8,16,20,1,100,2000,1.1,0.8182999999999999,15.6,28882,8891924.48,1444.03,444764.16
8,8,16,20,1,1000,2000,3.7,1.7,11.5,12088,3722444.8,604.27,186112.0
8,8,16,20,1,1000,1000,4.0,1.6,12.6,2449,754288.64,119.41,36782.08
8,8,16,20,2,10,1000,1.0,0.4972,4.1,19994,6155141.12,999.64,307886.08
8,8,16,20,2,10,2000,0.9,0.524,4.4,39982,12310282.24,1998.96,615669.76
8,8,16,20,2,100,1000,1.3,0.8242,8.4,10913,3365928.96,538.89,165980.16
8,8,16,20,2,100,2000,1.8,1.6,13.5,26710,8231321.6,1335.07,411197.44
8,8,16,20,2,1000,2000,2.3,1.2,13.2,15052,4634705.92,752.47,231761.92
8,8,16,20,2,1000,1000,2.9,1.3,9.1,1551,477706.24,75.81,23347.2
8,8,16,20,4,10,1000,0.8,0.392,4.6,20001,6155141.12,1000.04,308008.96
8,8,16,20,4,10,2000,0.8142,0.3932,5.7,39994,12320768.0,1999.61,615864.32
8,8,16,20,4,100,1000,18.6,22.0,103.7,14265,4393533.44,713.09,219637.76
8,8,16,20,4,100,2000,21.9,27.0,120.3,39924,12299796.48,1995.86,614727.68
8,16,1,10,1,10,1000,5.1,9.3,62.9,9980,1551892.48,997.76,154654.72
8,16,1,10,1,10,2000,7.6,13.9,88.3,19955,3093299.2,1994.59,309155.84
8,8,16,20,4,1000,2000,12.2,10.8,49.6,13517,4162846.72,674.52,207749.12
8,8,16,20,4,1000,1000,0.0,0.0,0.0,1000,307998.72,47.02,14479.36
8,16,1,10,1,100,1000,0.9,0.5972999999999999,21.4,9801,1520435.2,979.84,151879.68
8,16,1,10,1,100,2000,1.4,0.8,8.8,18001,2789212.16,1799.84,278978.56
8,16,1,10,1,1000,2000,3.5,3.7,25.0,4398,681687.04,439.76,68167.68
8,16,1,10,1,1000,1000,4.7,5.9,21.9,1000,155002.88,90.86,14080.0
8,16,1,10,2,10,1000,0.7361,0.4003,3.0,9994,1551892.48,999.38,154900.48
8,16,1,10,2,10,2000,0.7507999999999999,0.3792,2.8,19982,3093299.2,1998.02,309688.32
8,16,1,10,2,100,1000,0.0,0.0,0.0,9880,1530920.96,963.73,149381.12
8,16,1,10,2,100,2000,0.0,0.0,0.0,19600,3040870.4,1912.23,296396.8
8,16,1,10,2,1000,1000,3.7,4.8,40.1,2181,338053.12,217.15,33658.88
8,16,1,10,2,1000,2000,2.8,3.4,27.2,4833,749117.44,481.99,74711.04
8,16,1,10,4,10,1000,1.0,0.6769,10.4,10003,1551892.48,1000.22,155033.6
8,16,1,10,4,10,2000,0.9,0.7297,11.8,20000,3103784.96,1999.7,309944.32
8,16,1,10,4,100,2000,1.9,2.2,30.0,19924,3093299.2,1992.12,308776.96
8,16,1,10,4,100,1000,0.0,0.0,0.0,2327,360683.52,229.63,35594.24
8,16,1,10,4,1000,1000,10.0,15.2,79.4,2108,326737.92,209.09,32409.6
8,16,1,10,4,1000,2000,10.8,15.6,83.6,5001,775157.76,498.46,77260.8
8,16,1,20,1,10,1000,0.8,0.4279,3.2,19977,3093299.2,998.84,154818.56
8,16,1,20,1,10,2000,0.8189,0.3913,2.9,39957,6197084.16,1998.08,309698.56
8,16,1,20,1,100,1000,0.815,0.418,2.7,19801,3072327.68,990.02,153456.64
8,16,1,20,1,100,2000,0.8,0.4283,3.3,39551,6134169.6,1977.46,306503.68
8,16,1,20,1,1000,1000,2.9,0.8141,6.5,2125,329379.84,106.23,16465.92
8,16,1,20,1,1000,2000,2.5,0.9,7.0,13459,2086666.24,672.82,104284.16
8,16,1,20,2,10,1000,0.9,0.4024,3.7,19996,3103784.96,999.77,154961.92
8,16,1,20,2,10,2000,0.8135,0.396,3.6,39982,6197084.16,1999.0,309841.92
8,16,1,20,2,100,1000,0.0,0.0,0.0,2284,354017.28,112.79,17479.68
8,16,1,20,2,100,2000,0.0,0.0,0.0,3375,523120.64,166.66,25835.52
8,16,1,20,2,1000,2000,3.5,2.8,51.2,10472,1625292.8,523.4,81131.52
8,16,1,20,2,1000,1000,3.3,2.3,24.5,4213,653015.04,209.73,32512.0
8,16,1,20,4,10,1000,0.752,0.3043,1.7,20002,3103784.96,1000.11,155013.12
8,16,1,20,4,10,2000,0.6801,0.3188999999999999,2.9,39998,6197084.16,1999.89,309975.04
8,16,1,20,4,100,1000,0.8037000000000001,0.4592,5.2,19916,3082813.44,995.19,154255.36
8,16,1,20,4,100,2000,0.7494,0.6483,15.5,39925,6186598.4,1996.02,309381.12
8,16,2,10,1,10,1000,2.0,1.9,19.3,9981,1646264.32,997.98,164669.44
8,16,2,10,1,10,2000,2.2,2.2,21.9,19958,3292528.64,1994.72,329123.84
8,16,1,20,4,1000,2000,5.9,4.8,43.0,11491,1782579.2,574.06,88975.36
8,16,1,20,4,1000,1000,5.5,4.5,25.5,2424,375715.84,120.17,18626.56
8,16,2,10,1,100,1000,2.5,2.7,28.7,9801,1614807.04,979.78,161658.88
8,16,2,10,1,100,2000,2.8,2.7,29.6,19531,3219128.32,1950.73,321873.92
8,16,2,10,1,1000,1000,6.2,6.3,24.1,1535,253276.16,153.45,25323.52
8,16,2,10,1,1000,2000,4.0,4.1,33.5,6267,1038090.24,626.4,103352.32
8,16,2,10,2,10,1000,1.1,0.8,12.9,9994,1646264.32,999.35,164894.72
8,16,2,10,2,10,2000,1.0,0.8102999999999999,10.9,19981,3292528.64,1997.61,329605.12
8,16,2,10,2,100,2000,1.2,1.2,22.0,8417,1384120.32,839.87,138577.92
8,16,2,10,2,100,1000,0.0,0.0,0.0,1918,316467.2,187.09,30873.6
8,16,2,10,2,1000,1000,5.9,7.3,40.4,2257,372408.32,224.5,37038.08
8,16,2,10,2,1000,2000,3.6,3.7,24.9,5238,864266.24,523.68,86405.12
8,16,2,10,4,10,1000,0.8228,0.5162,9.0,10001,1646264.32,1000.09,165007.36
8,16,2,10,4,10,2000,0.7371,0.5692,16.4,19998,3303014.4,1999.45,329902.08
8,16,2,10,4,100,1000,0.7369,0.4478,7.6,9985,1646264.32,998.39,164730.88
8,16,2,10,4,100,2000,0.6567000000000001,0.4694,7.5,19926,3292528.64,1992.24,328724.48
8,16,2,10,4,1000,1000,3.9,5.7,42.8,1260,207902.72,123.37,20357.12
8,16,2,10,4,1000,2000,7.0,7.7,42.2,7821,1289748.48,781.72,128983.04
8,16,2,20,1,10,1000,0.8,0.5096,8.2,19981,3292528.64,998.91,164812.8
8,16,2,20,1,10,2000,0.8,0.4836,6.4,39956,6595543.04,1997.75,329625.6
8,16,2,20,1,100,1000,1.7,0.7983,6.2,19006,3135242.24,950.2,156784.64
8,16,2,20,1,100,2000,1.0,0.4211,3.5,29712,4907335.68,1485.5,245104.64
8,16,2,20,1,1000,1000,4.1,1.5,10.1,2485,410030.08,124.24,20500.48
8,16,2,20,1,1000,2000,4.0,1.8,11.4,8924,1468006.4,446.18,73615.36
8,16,2,20,2,10,1000,0.7997000000000001,0.3955,4.6,19994,3303014.4,999.63,164935.68
8,16,2,20,2,10,2000,0.7727,0.3787,4.3,39982,6595543.04,1999.04,329830.4
8,16,2,20,2,100,1000,0.0,0.0,0.0,10168,1677721.6,502.1,82851.84
8,16,2,20,2,100,2000,0.0,0.0,0.0,20195,3334471.68,997.24,164546.56
8,16,2,20,2,1000,1000,2.3,1.0,8.6,3974,655708.16,198.6,32768.0
8,16,2,20,2,1000,2000,2.4,1.4,9.9,10568,1740636.16,528.25,87162.88
8,16,2,20,4,10,1000,0.7383,0.3186,1.9,20001,3303014.4,999.96,164986.88
8,16,2,20,4,10,2000,0.697,0.3221,2.0,39999,6595543.04,1999.84,329963.52
8,16,2,20,4,100,2000,3.1,3.5,32.7,37699,6218055.68,1883.93,310845.44
8,16,2,20,4,100,1000,1.3,3.2,66.2,12440,2055208.96,620.34,102359.04
8,16,4,10,1,10,1000,2.3,1.6,11.8,9976,1824522.24,997.12,182476.8
8,16,4,10,1,10,2000,2.4,1.7,14.2,19948,3649044.48,1994.65,365015.04
8,16,2,20,4,1000,2000,3.7,2.4,18.0,9494,1562378.24,473.12,78059.52
8,16,2,20,4,1000,1000,3.3,2.0,18.3,3794,626012.16,188.65,31129.6
8,16,4,10,1,100,2000,1.2,0.8172,8.3,8423,1541406.72,842.13,154112.0
8,16,4,10,1,100,1000,0.0,0.0,0.0,1895,346787.84,180.41,33013.76
8,16,4,10,1,1000,1000,3.6,4.0,18.0,1520,278159.36,151.98,27811.84
8,16,4,10,1,1000,2000,3.0,2.8,21.5,6091,1111490.56,608.64,111380.48
8,16,4,10,2,10,1000,0.8115,0.3978,2.2,9994,1824522.24,999.23,182855.68
8,16,4,10,2,10,2000,0.7685,0.3626,2.2,19982,3659530.24,1997.99,365629.44
8,16,4,10,2,100,2000,0.8106,0.5176000000000001,12.9,19791,3617587.2,1973.05,361072.64
8,16,4,10,2,100,1000,0.0,0.0,0.0,9900,1814036.48,965.79,176742.4
8,16,4,10,2,1000,1000,8.6,10.7,32.7,1184,216668.16,113.42,20756.48
8,16,4,10,2,1000,2000,1.5,1.8,21.1,7528,1373634.56,752.68,137738.24
8,16,4,10,4,10,1000,0.8,0.3445,6.4,10004,1835008.0,1000.24,183040.0
8,16,4,10,4,10,2000,0.8398,0.3402,6.5,20000,3659530.24,1999.8,365957.12
8,16,4,10,4,100,2000,4.1,6.2,48.5,10540,1929379.84,1052.97,192696.32
8,16,4,10,4,100,1000,0.0,0.0,0.0,1644,300851.2,162.18,29675.52
8,16,4,10,4,1000,1000,14.2,17.0,74.6,1036,189583.36,101.07,18493.44
8,16,4,10,4,1000,2000,15.2,14.5,73.2,8298,1520435.2,826.06,151173.12
8,16,4,20,1,10,1000,0.8,0.4087,2.2,19976,3659530.24,998.82,182784.0
8,16,4,20,1,10,2000,0.9,0.442,2.2,39955,7308574.72,1997.71,365578.24
8,16,4,20,1,100,1000,0.8217000000000001,0.4038,2.3,19801,3628072.96,990.0,181166.08
8,16,4,20,1,100,2000,0.8436,0.4223,2.3,39552,7235174.4,1977.54,361891.84
8,16,4,20,1,1000,1000,3.0,1.1,10.7,2185,399851.52,109.24,19988.48
8,16,4,20,1,1000,2000,2.5,1.1,9.6,13374,2443182.08,668.44,122327.04
8,16,4,20,2,10,1000,0.8,0.4177,2.6,19994,3659530.24,999.64,182927.36
8,16,4,20,2,10,2000,0.8091,0.3853,3.3,39983,7319060.48,1999.05,365813.76
8,16,4,20,2,100,1000,0.0,0.0,0.0,1784,326471.68,88.1,16117.76
8,16,4,20,2,100,2000,1.0,0.8,4.8,4068,744448.0,200.89,36761.6
8,16,4,20,2,1000,1000,2.7,0.9,9.0,4337,793671.68,216.76,39669.76
8,16,4,20,2,1000,2000,3.0,1.7,9.9,10775,1971322.88,538.6,98560.0
8,16,4,20,4,10,1000,0.7432000000000001,0.3228999999999999,1.6,20001,3659530.24,999.89,182978.56
8,16,4,20,4,10,2000,0.684,0.323,1.7,40000,7319060.48,1999.83,365957.12
8,16,4,20,4,100,1000,0.8395,0.4318999999999999,2.1,19743,3617587.2,987.08,180633.6
8,16,4,20,4,100,2000,0.7891,0.4054,2.1,39929,7308574.72,1996.21,365312.0
